id,category,keywords,name,similar_games,involved_companies,platforms,release_dates,genres,themes
153114,1,,Trainz Railroad Simulator 2019: CP SD40-2 #5865-5879 Multimark,"[28277, 65827, 87485, 100794, 100806, 101573, 105264, 106008, 112754, 114766]",,"[6, 14]","[292364, 292365]",[13],
55527,0,[2385],Aces High III,"[28277, 51577, 65827, 87485, 101573, 105264, 106008, 112754, 112925, 114766]",[60353],[6],[111879],[13],
31086,0,,Torch Cave 2,"[26950, 37419, 78632, 87622, 96217, 103292, 105049, 106987, 111130]",[48364],[6],[74309],[31],[1]
15273,0,"[117, 966, 970, 1059, 1158, 2381, 3910, 4004, 4134, 4138, 4150, 4151, 4869, 5259, 5421, 5722, 6229, 6827, 7159, 9831]",Waveform,"[7350, 9278, 17111, 17130, 21564, 22387, 25311, 36198, 51945, 55190]","[29232, 29233]","[3, 6, 14]","[42144, 42145, 42146]","[15, 31, 32]","[1, 18]"
126945,0,,BeatAim,"[25311, 28277, 36553, 37419, 43124, 51577, 65827, 76263, 81680, 113895]",[114426],[6],[221323],"[13, 32]",[1]
154661,1,,Steel Division 2: Tribute to D-Day Pack,"[18623, 23345, 25311, 36553, 37419, 65827, 78550, 79134, 102163, 106112]",,,,"[11, 13, 15, 32]","[1, 22]"
32260,0,,Ghost Train VR,"[65827, 75948, 94741, 106992, 111043, 113895, 115850, 119788, 120028, 121309]",,[6],[75903],[32],
86537,0,,Club of fighters,"[28277, 37419, 51577, 55888, 65827, 76263, 87975, 114285, 116582]",,,,"[13, 14, 32]",
11425,0,"[103, 429, 1027]",Epanalepsis,"[13189, 18011, 25222, 25311, 28070, 28309, 36044, 81275, 105269, 107169]","[26334, 26335]","[3, 6, 14]","[35886, 35887, 35888, 120664, 255085, 255086, 255087]","[2, 31, 32]",[18]
176474,0,,Beware The Ghost,,,,,,
108786,0,,SOCCER LOVE,,,,,,
104657,0,,Puzzle Masters,,,,,,
104171,0,,Nano Empire,,,,,,
96287,0,,Bouncy Egg,,,,,,
14026,0,,Dark Empire,"[13200, 17130, 25311, 28277, 34823, 37419, 51577, 55888, 65827]","[51943, 51944]","[15, 26]","[93027, 93028]","[13, 16, 32]",[18]
19045,0,,Deer Man,"[28277, 37419, 55282, 75240, 75948, 87514, 87975, 96217, 106992, 111130]",,[6],[70146],"[31, 32]",
19422,0,"[712, 994, 2427]",Theme Park Inc,"[17519, 29173, 31515, 36258, 36346, 55036, 55590, 55689, 79134]","[35849, 35850, 57927]",[6],"[51410, 51411]","[13, 15]",
110620,0,,Battle Arena: Euro Wars,"[25311, 25640, 36553, 37419, 51577, 55888, 65827, 111130, 113895, 118091]",,,,"[15, 32]",[1]
48624,0,,Miracle Ropitt: 2100-nen no Daibouken,"[115276, 166231, 166269, 166313, 166316, 166995, 167047, 167160, 171987, 172435]",,[99],[316145],[8],
26211,0,,Riddler's Den,"[90788, 99118, 103303, 106987, 112191, 113636, 113910, 115278, 115653]","[42380, 42381]",[26],[61792],"[9, 12, 33]",[17]
155975,0,,Retexo Mori,"[32902, 37419, 40524, 76263, 96217, 105233, 111130, 113895, 119121, 119493]",,,,[32],[1]
176470,0,,Eigenstate,"[10603, 19222, 41349, 86974, 87507, 88511, 90766, 90788, 95776, 106992]",,,,[9],
102487,0,,Love Witches,,,,,,
135626,0,[215],Inspector Javert and the Oath of Blood,"[18225, 25311, 25646, 55984, 80916, 81680, 96217, 105049, 105269, 106987]",[103387],[6],[203195],"[9, 12, 31, 32]","[1, 22, 31, 43]"
155267,1,,Dungeon Fighter Online: Dynasty Guardian Pack,"[26950, 37419, 78632, 87622, 96217, 103301, 103303, 105049, 106987, 111130]",,,,[31],[1]
